assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
78,32,83,0.0,7,64,40,Kucherov,1,44,8476453,44,118,1.84375,R,7,34,20252026,1,1,0.20202,L,198,Nikita Kucherov,TBL,1219.9062
78,26,67,0.47581,3,71,38,McDavid,1,34,8478402,8,116,1.6338,C,11,47,20252026,1,2,0.14785,L,257,Connor McDavid,EDM,1384.4084
69,36,87,0.51468,6,67,45,MacKinnon,1,35,8477492,57,114,1.70149,C,9,27,20252026,0,0,0.15,R,300,Nathan MacKinnon,COL,1335.4179
62,18,54,0.56935,3,65,35,Draisaitl,1,26,8477934,13,97,1.4923,C,16,42,20252026,1,1,0.18817,L,186,Leon Draisaitl,EDM,1294.5076
61,30,69,0.48817,4,68,35,Celebrini,2,40,8484801,3,96,1.41176,C,5,27,20252026,0,0,0.1483,L,236,Macklin Celebrini,SJS,1283.0441
58,18,56,0.16666,4,65,28,Pastrnak,1,60,8477956,1,86,1.32307,R,10,30,20252026,0,0,0.12389,R,226,David Pastrnak,BOS,1239.9538
61,13,45,0.50326,2,69,24,Suzuki,1,24,8480018,27,85,1.23188,C,10,39,20252026,1,1,0.15789,R,152,Nick Suzuki,MTL,1249.8695
52,24,65,0.45,1,65,32,Necas,0,30,8480039,44,84,1.2923,C,8,19,20252026,0,0,0.18934,R,169,Martin Necas,COL,1285.4153
52,24,65,0.46734,6,69,31,Scheifele,1,24,8476460,0,83,1.20289,C,7,17,20252026,0,1,0.21088,R,147,Mark Scheifele,WPG,1290.4782
44,25,47,0.0,7,69,38,Robertson,1,26,8480027,22,82,1.1884,L,13,35,20252026,0,0,0.15637,L,243,Jason Robertson,DAL,1205.0144
42,22,51,0.0,5,69,38,Kaprizov,4,28,8478864,8,80,1.15942,L,16,29,20252026,0,0,0.15702,L,242,Kirill Kaprizov,MIN,1343.8985
60,12,48,,4,71,19,Bouchard,2,26,8480803,15,79,1.11267,D,7,30,20252026,0,1,0.09595,R,198,Evan Bouchard,EDM,1484.7746
47,26,59,0.0,2,69,31,Connor,1,16,8478398,-2,78,1.13043,L,3,16,20252026,2,3,0.13716,L,226,Kyle Connor,WPG,1289.8115
55,17,54,,2,62,20,Werenski,0,14,8478460,11,75,1.20967,D,3,20,20252026,0,1,0.09132,L,219,Zach Werenski,CBJ,1580.0806
37,23,45,0.48181,3,67,38,Boldy,1,28,8481557,16,75,1.1194,L,11,26,20252026,4,4,0.16888,L,225,Matt Boldy,MIN,1253.1641
50,23,49,0.48003,5,62,24,Eichel,2,12,8478403,9,74,1.19354,C,0,24,20252026,1,1,0.1081,R,222,Jack Eichel,VGK,1276.2741
37,15,38,0.48241,3,69,37,Johnston,0,22,8482740,-1,74,1.07246,C,22,36,20252026,0,0,0.2067,R,179,Wyatt Johnston,DAL,1206.8115
31,33,49,0.33333,9,68,43,Caufield,5,14,8481540,21,74,1.08823,R,10,25,20252026,0,0,0.20673,R,208,Cole Caufield,MTL,1089.4264
49,20,51,1.0,3,65,24,Panarin,0,18,8478550,-11,73,1.12307,L,4,22,20252026,0,0,0.12435,R,193,Artemi Panarin,"NYR,LAK",1253.123
38,23,54,0.36956,6,70,35,DeBrincat,2,12,8479337,7,73,1.04285,R,12,19,20252026,0,0,0.14285,R,245,Alex DeBrincat,DET,1100.9
40,22,46,0.53403,5,69,32,Stützle,2,35,8482116,7,72,1.04347,C,8,24,20252026,2,2,0.18934,L,169,Tim Stützle,OTT,1222.3768
36,31,51,0.44591,4,70,36,Thompson,0,29,8479420,-4,72,1.02857,C,5,20,20252026,0,1,0.15062,R,239,Tage Thompson,BUF,1148.3714
41,21,43,0.46788,5,68,31,Guentzel,2,51,8477404,10,72,1.05882,C,8,27,20252026,2,2,0.17127,L,181,Jake Guentzel,TBL,1206.9705
47,17,45,0.50144,4,69,24,Aho,2,40,8478427,9,71,1.02898,C,6,23,20252026,1,3,0.14457,L,166,Sebastian Aho,CAR,1184.8405
50,16,45,,4,68,20,Makar,0,24,8480069,32,70,1.02941,D,4,25,20252026,0,0,0.10928,R,183,Cale Makar,COL,1497.1029
50,15,47,0.40206,1,69,19,Marner,0,20,8478483,14,69,1.0,R,4,21,20252026,0,1,0.14393,R,132,Mitch Marner,VGK,1195.2173
58,9,50,,3,69,11,Hutson,1,32,8483457,26,69,1.0,D,2,19,20252026,0,0,0.09909,L,111,Lane Hutson,MTL,1419.5942
63,4,38,,1,65,6,Hughes,0,28,8480800,-2,69,1.06153,D,2,31,20252026,0,0,0.03571,L,168,Quinn Hughes,"VAN,MIN",1664.0461
49,15,39,0.5,1,54,20,Rantanen,0,87,8478420,2,69,1.27777,R,5,30,20252026,0,0,0.15873,L,126,Mikko Rantanen,DAL,1212.2592
46,16,44,1.0,5,68,22,Raymond,0,14,8482078,10,68,1.0,L,6,24,20252026,0,0,0.14864,R,148,Lucas Raymond,DET,1128.2647
35,27,56,0.38983,6,63,32,Hagel,0,54,8479542,35,67,1.06349,L,4,10,20252026,1,1,0.17486,L,183,Brandon Hagel,TBL,1177.8888
45,21,49,0.375,5,70,22,Keller,3,28,8479343,22,67,0.95714,R,1,18,20252026,0,0,0.11282,L,195,Clayton Keller,UTA,1138.9285
37,14,35,0.51816,3,68,29,Zibanejad,0,12,8476459,-21,66,0.97058,C,13,29,20252026,2,2,0.16201,R,179,Mika Zibanejad,NYR,1257.4264
41,18,50,0.37878,3,54,24,Nylander,3,14,8477939,-5,65,1.2037,R,6,15,20252026,0,0,0.19834,R,121,William Nylander,TOR,1142.5
37,21,46,0.46025,5,56,28,Bedard,1,40,8484144,-2,65,1.16071,C,7,19,20252026,0,0,0.15135,R,185,Connor Bedard,CHI,1259.4642
46,16,45,0.39763,4,69,18,Barzal,2,59,8478445,14,64,0.92753,C,2,19,20252026,0,0,0.11688,R,154,Mathew Barzal,NYI,1246.5362
40,17,45,0.55181,7,68,24,O'Reilly,0,18,8475158,7,64,0.94117,C,5,17,20252026,2,2,0.17777,L,135,Ryan O'Reilly,NSH,1216.5
