id,name,abbr,color,photo,gp,g,a,pts,plusMinus
8476453,Nikita Kucherov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476453.png,64,40,78,118,44
8478402,Connor McDavid,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478402.png,71,38,78,116,8
8477492,Nathan MacKinnon,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477492.png,67,45,69,114,57
8477934,Leon Draisaitl,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477934.png,65,35,62,97,13
8484801,Macklin Celebrini,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484801.png,68,35,61,96,3
8477956,David Pastrnak,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477956.png,65,28,58,86,1
8480018,Nick Suzuki,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480018.png,69,24,61,85,27
8480039,Martin Necas,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480039.png,65,32,52,84,44
8476460,Mark Scheifele,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476460.png,69,31,52,83,0
8480027,Jason Robertson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480027.png,69,38,44,82,22
8478864,Kirill Kaprizov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478864.png,69,38,42,80,8
8480803,Evan Bouchard,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480803.png,71,19,60,79,15
8478398,Kyle Connor,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478398.png,69,31,47,78,-2
8481557,Matt Boldy,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481557.png,67,38,37,75,16
8478460,Zach Werenski,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478460.png,62,20,55,75,11
8478403,Jack Eichel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478403.png,62,24,50,74,9
8482740,Wyatt Johnston,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482740.png,69,37,37,74,-1
8481540,Cole Caufield,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481540.png,68,43,31,74,21
8478550,Artemi Panarin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478550.png,65,24,49,73,-11
8479337,Alex DeBrincat,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479337.png,70,35,38,73,7
8479420,Tage Thompson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479420.png,70,36,36,72,-4
8482116,Tim Stützle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482116.png,69,32,40,72,7
8477404,Jake Guentzel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477404.png,68,31,41,72,10
8478427,Sebastian Aho,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478427.png,69,24,47,71,9
8480069,Cale Makar,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480069.png,68,20,50,70,32
8478420,Mikko Rantanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478420.png,54,20,49,69,2
8480800,Quinn Hughes,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480800.png,65,6,63,69,-2
8483457,Lane Hutson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483457.png,69,11,58,69,26
8478483,Mitch Marner,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478483.png,69,19,50,69,14
8482078,Lucas Raymond,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482078.png,68,22,46,68,10
8479542,Brandon Hagel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479542.png,63,32,35,67,35
8479343,Clayton Keller,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479343.png,70,22,45,67,22
8476459,Mika Zibanejad,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476459.png,68,29,37,66,-21
8477939,William Nylander,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477939.png,54,24,41,65,-5
8484144,Connor Bedard,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484144.png,56,28,37,65,-2
8475158,Ryan O'Reilly,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475158.png,68,24,40,64,7
8478445,Mathew Barzal,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478445.png,69,18,46,64,14
8480839,Rasmus Dahlin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480839.png,66,15,48,63,13
8471675,Sidney Crosby,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471675.png,58,28,34,62,0
8475913,Mark Stone,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475913.png,48,21,41,62,13
8483445,Cutter Gauthier,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483445.png,68,36,26,62,1
8480208,Drake Batherson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480208.png,66,27,34,61,-4
8483515,Juraj Slafkovský,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483515.png,69,27,34,61,5
8479987,Morgan Geekie,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479987.png,69,34,27,61,-5
8477933,Sam Reinhart,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477933.png,64,29,32,61,-18
8477951,Nick Schmaltz,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477951.png,70,24,37,61,22
8478439,Travis Konecny,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478439.png,65,25,35,60,12
8478178,Darren Raddysh,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478178.png,61,18,42,60,24
8480830,Andrei Svechnikov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480830.png,69,25,34,59,1
8476887,Filip Forsberg,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476887.png,69,30,29,59,-5
8482699,Dylan Guenther,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482699.png,68,34,25,59,6
8477960,Adrian Kempe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477960.png,68,26,33,59,8
8477949,Alex Tuch,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477949.png,67,28,30,58,19
8480036,Miro Heiskanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480036.png,67,9,49,58,16
8480893,Kirill Marchenko,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480893.png,63,25,33,58,5
8482720,Matthew Knies,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482720.png,68,18,39,57,-19
8481604,Pavel Dorofeyev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481604.png,70,34,23,57,-3
8475166,John Tavares,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475166.png,71,25,32,57,-26
8480014,Gabriel Vilardi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480014.png,69,26,30,56,-8
8475810,Bryan Rust,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475810.png,62,26,30,56,5
8475754,Brock Nelson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475754.png,68,31,25,56,10
8477940,Nikolaj Ehlers,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477940.png,69,20,36,56,6
8482093,Seth Jarvis,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482093.png,61,28,28,56,6
8484153,Leo Carlsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484153.png,57,24,32,56,2
8481533,Trevor Zegras,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481533.png,69,22,33,55,-2
8481559,Jack Hughes,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481559.png,48,18,37,55,-3
8474564,Steven Stamkos,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474564.png,69,33,22,55,-21
8475745,Charlie Coyle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475745.png,69,17,38,55,11
8477946,Dylan Larkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477946.png,63,28,27,55,7
8479407,Jesper Bratt,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479407.png,69,17,38,55,-16
8473419,Brad Marchand,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8473419.png,52,27,27,54,-16
8476881,Tomas Hertl,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476881.png,70,24,30,54,-14
8474578,Erik Karlsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474578.png,64,11,43,54,14
8477935,Sam Bennett,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477935.png,68,25,28,53,-9
8477511,Anthony Mantha,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477511.png,69,26,27,53,14
8479325,Charlie McAvoy,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479325.png,58,9,44,53,8
8479318,Auston Matthews,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479318.png,60,27,26,53,-4
8484166,Adam Fantilli,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484166.png,69,21,31,52,-10
8484762,Beckett Sennecke,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484762.png,69,20,32,52,-14
8471215,Evgeni Malkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471215.png,49,15,37,52,14
8471214,Alex Ovechkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471214.png,70,25,27,52,-3
8476880,Tom Wilson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476880.png,60,25,27,52,15
8480002,Nico Hischier,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480002.png,69,24,28,52,-11
8484984,Ivan Demidov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484984.png,69,14,38,52,3
8478401,Pavel Zacha,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478401.png,67,23,28,51,-1
8485366,Matthew Schaefer,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8485366.png,70,22,29,51,14
8476454,Ryan Nugent-Hopkins,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476454.png,61,18,33,51,-13
8481528,Dylan Cozens,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481528.png,69,24,27,51,-9
8479345,Jakob Chychrun,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479345.png,68,23,28,51,15
8478440,Dylan Strome,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478440.png,68,16,34,50,3
8477409,Carter Verhaeghe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477409.png,67,20,29,49,-11
8478873,Troy Terry,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478873.png,49,14,35,49,11
8480802,Ryan McLeod,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480802.png,70,12,37,49,28
8474586,Jordan Eberle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474586.png,67,22,27,49,6
8477479,Tyler Bertuzzi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477479.png,66,28,21,49,-21
8477500,Bo Horvat,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477500.png,56,28,21,49,10
8478519,Anthony Cirelli,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478519.png,60,19,29,48,32
8477964,Ivan Barbashev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477964.png,70,19,29,48,9
8482146,Luke Evangelista,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482146.png,68,9,39,48,5
8476389,Vincent Trocheck,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476389.png,54,15,33,48,-16
8482105,Jake Sanderson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482105.png,62,11,37,48,9
8481542,Moritz Seider,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481542.png,70,9,39,48,20
8481605,Jackson LaCombe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481605.png,69,8,39,47,0
8480801,Brady Tkachuk,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480801.png,49,19,28,47,1
8474590,John Carlson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474590.png,58,10,37,47,13
8482109,Alexis Lafrenière,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482109.png,69,20,27,47,-9
8481656,Aliaksei Protas,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481656.png,66,23,24,47,18
8482122,Brock Faber,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482122.png,71,14,33,47,21
8475786,Zach Hyman,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475786.png,52,29,17,46,6
8477504,Josh Morrissey,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477504.png,64,12,34,46,6
8480023,Robert Thomas,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480023.png,52,16,30,46,13
8482659,Josh Doan,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482659.png,70,22,24,46,-6
8474600,Roman Josi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474600.png,57,11,35,46,-18
8480865,Noah Dobson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480865.png,69,12,33,45,11
8478010,Brayden Point,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478010.png,50,16,29,45,9
8484227,Will Smith,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484227.png,55,19,26,45,-3
