id,name,abbr,color,photo,gp,g,a,pts,plusMinus
Nikita_Kucherov,Nikita Kucherov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476453.png,64,40,78,118,44
Connor_McDavid,Connor McDavid,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478402.png,71,38,78,116,8
Nathan_MacKinnon,Nathan MacKinnon,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477492.png,67,45,69,114,57
Leon_Draisaitl,Leon Draisaitl,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477934.png,65,35,62,97,13
Macklin_Celebrini,Macklin Celebrini,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484801.png,68,35,61,96,3
David_Pastrnak,David Pastrnak,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477956.png,65,28,58,86,1
Nick_Suzuki,Nick Suzuki,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480018.png,69,24,61,85,27
Martin_Necas,Martin Necas,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480039.png,65,32,52,84,44
Mark_Scheifele,Mark Scheifele,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476460.png,69,31,52,83,0
Jason_Robertson,Jason Robertson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480027.png,69,38,44,82,22
Kirill_Kaprizov,Kirill Kaprizov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478864.png,69,38,42,80,8
Evan_Bouchard,Evan Bouchard,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480803.png,71,19,60,79,15
Kyle_Connor,Kyle Connor,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478398.png,69,31,47,78,-2
Zach_Werenski,Zach Werenski,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478460.png,62,20,55,75,11
Matt_Boldy,Matt Boldy,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481557.png,67,38,37,75,16
Cole_Caufield,Cole Caufield,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481540.png,68,43,31,74,21
Wyatt_Johnston,Wyatt Johnston,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482740.png,69,37,37,74,-1
Jack_Eichel,Jack Eichel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478403.png,62,24,50,74,9
Alex_DeBrincat,Alex DeBrincat,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479337.png,70,35,38,73,7
Artemi_Panarin,Artemi Panarin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478550.png,65,24,49,73,-11
Tim_Stützle,Tim Stützle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482116.png,69,32,40,72,7
Tage_Thompson,Tage Thompson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479420.png,70,36,36,72,-4
Jake_Guentzel,Jake Guentzel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477404.png,68,31,41,72,10
Sebastian_Aho,Sebastian Aho,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478427.png,69,24,47,71,9
Cale_Makar,Cale Makar,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480069.png,68,20,50,70,32
Lane_Hutson,Lane Hutson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483457.png,69,11,58,69,26
Quinn_Hughes,Quinn Hughes,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480800.png,65,6,63,69,-2
Mikko_Rantanen,Mikko Rantanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478420.png,54,20,49,69,2
Mitch_Marner,Mitch Marner,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478483.png,69,19,50,69,14
Lucas_Raymond,Lucas Raymond,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482078.png,68,22,46,68,10
Clayton_Keller,Clayton Keller,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479343.png,70,22,45,67,22
Brandon_Hagel,Brandon Hagel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479542.png,63,32,35,67,35
Mika_Zibanejad,Mika Zibanejad,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476459.png,68,29,37,66,-21
William_Nylander,William Nylander,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477939.png,54,24,41,65,-5
Connor_Bedard,Connor Bedard,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484144.png,56,28,37,65,-2
Ryan_OReilly,Ryan O'Reilly,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475158.png,68,24,40,64,7
Mathew_Barzal,Mathew Barzal,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478445.png,69,18,46,64,14
Rasmus_Dahlin,Rasmus Dahlin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480839.png,66,15,48,63,13
Mark_Stone,Mark Stone,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475913.png,48,21,41,62,13
Cutter_Gauthier,Cutter Gauthier,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483445.png,68,36,26,62,1
Sidney_Crosby,Sidney Crosby,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471675.png,58,28,34,62,0
Nick_Schmaltz,Nick Schmaltz,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477951.png,70,24,37,61,22
Drake_Batherson,Drake Batherson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480208.png,66,27,34,61,-4
Juraj_Slafkovský,Juraj Slafkovský,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483515.png,69,27,34,61,5
Sam_Reinhart,Sam Reinhart,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477933.png,64,29,32,61,-18
Morgan_Geekie,Morgan Geekie,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479987.png,69,34,27,61,-5
Travis_Konecny,Travis Konecny,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478439.png,65,25,35,60,12
Darren_Raddysh,Darren Raddysh,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478178.png,61,18,42,60,24
Filip_Forsberg,Filip Forsberg,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476887.png,69,30,29,59,-5
Adrian_Kempe,Adrian Kempe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477960.png,68,26,33,59,8
Andrei_Svechnikov,Andrei Svechnikov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480830.png,69,25,34,59,1
Dylan_Guenther,Dylan Guenther,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482699.png,68,34,25,59,6
Kirill_Marchenko,Kirill Marchenko,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480893.png,63,25,33,58,5
Miro_Heiskanen,Miro Heiskanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480036.png,67,9,49,58,16
Alex_Tuch,Alex Tuch,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477949.png,67,28,30,58,19
Matthew_Knies,Matthew Knies,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482720.png,68,18,39,57,-19
Pavel_Dorofeyev,Pavel Dorofeyev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481604.png,70,34,23,57,-3
