id,name,abbr,team,pos,color,photo,gp,g,a,pts,plusMinus,pim,shots
8476453,Nikita Kucherov,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476453.png,64,40,78,118,44,44,198
8478402,Connor McDavid,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478402.png,71,38,78,116,8,34,257
8477492,Nathan MacKinnon,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477492.png,67,45,69,114,57,35,300
8477934,Leon Draisaitl,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477934.png,65,35,62,97,13,26,186
8484801,Macklin Celebrini,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484801.png,68,35,61,96,3,40,236
8477956,David Pastrnak,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477956.png,65,28,58,86,1,60,226
8480018,Nick Suzuki,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480018.png,69,24,61,85,27,24,152
8480039,Martin Necas,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480039.png,65,32,52,84,44,30,169
8476460,Mark Scheifele,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476460.png,69,31,52,83,0,24,147
8480027,Jason Robertson,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480027.png,69,38,44,82,22,26,243
8478864,Kirill Kaprizov,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478864.png,69,38,42,80,8,28,242
8480803,Evan Bouchard,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480803.png,71,19,60,79,15,26,198
8478398,Kyle Connor,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478398.png,69,31,47,78,-2,16,226
8478460,Zach Werenski,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478460.png,62,20,55,75,11,14,219
8481557,Matt Boldy,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481557.png,67,38,37,75,16,28,225
8482740,Wyatt Johnston,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482740.png,69,37,37,74,-1,22,179
8481540,Cole Caufield,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481540.png,68,43,31,74,21,14,208
8478403,Jack Eichel,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478403.png,62,24,50,74,9,12,222
8479337,Alex DeBrincat,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479337.png,70,35,38,73,7,12,245
8478550,Artemi Panarin,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478550.png,65,24,49,73,-11,18,193
8482116,Tim Stützle,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482116.png,69,32,40,72,7,35,169
8479420,Tage Thompson,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479420.png,70,36,36,72,-4,29,239
8477404,Jake Guentzel,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477404.png,68,31,41,72,10,51,181
8478427,Sebastian Aho,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478427.png,69,24,47,71,9,40,166
8480069,Cale Makar,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480069.png,68,20,50,70,32,24,183
8478483,Mitch Marner,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478483.png,69,19,50,69,14,20,132
8483457,Lane Hutson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8483457.png,69,11,58,69,26,32,111
8478420,Mikko Rantanen,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478420.png,54,20,49,69,2,87,126
8480800,Quinn Hughes,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480800.png,65,6,63,69,-2,28,168
8482078,Lucas Raymond,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482078.png,68,22,46,68,10,14,148
8479542,Brandon Hagel,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479542.png,63,32,35,67,35,54,183
8479343,Clayton Keller,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479343.png,70,22,45,67,22,28,195
8476459,Mika Zibanejad,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476459.png,68,29,37,66,-21,12,179
8477939,William Nylander,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477939.png,54,24,41,65,-5,14,121
8484144,Connor Bedard,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484144.png,56,28,37,65,-2,40,185
8475158,Ryan O'Reilly,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475158.png,68,24,40,64,7,18,135
8478445,Mathew Barzal,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478445.png,69,18,46,64,14,59,154
8480839,Rasmus Dahlin,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480839.png,66,15,48,63,13,64,167
8471675,Sidney Crosby,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8471675.png,58,28,34,62,0,42,137
8483445,Cutter Gauthier,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8483445.png,68,36,26,62,1,26,255
8475913,Mark Stone,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475913.png,48,21,41,62,13,9,103
8479987,Morgan Geekie,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479987.png,69,34,27,61,-5,18,158
8483515,Juraj Slafkovský,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8483515.png,69,27,34,61,5,44,151
8477951,Nick Schmaltz,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477951.png,70,24,37,61,22,26,166
8480208,Drake Batherson,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480208.png,66,27,34,61,-4,25,145
8477933,Sam Reinhart,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477933.png,64,29,32,61,-18,10,166
8478439,Travis Konecny,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478439.png,65,25,35,60,12,55,144
8478178,Darren Raddysh,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478178.png,61,18,42,60,24,48,170
8476887,Filip Forsberg,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476887.png,69,30,29,59,-5,32,214
8480830,Andrei Svechnikov,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480830.png,69,25,34,59,1,56,174
8477960,Adrian Kempe,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477960.png,68,26,33,59,8,56,191
8482699,Dylan Guenther,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482699.png,68,34,25,59,6,26,212
8480893,Kirill Marchenko,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480893.png,63,25,33,58,5,30,185
8477949,Alex Tuch,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477949.png,67,28,30,58,19,49,164
8480036,Miro Heiskanen,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480036.png,67,9,49,58,16,22,134
8481604,Pavel Dorofeyev,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481604.png,70,34,23,57,-3,22,196
8475166,John Tavares,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475166.png,71,25,32,57,-26,28,173
8482720,Matthew Knies,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482720.png,68,18,39,57,-19,25,126
8475810,Bryan Rust,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475810.png,62,26,30,56,5,18,162
8477940,Nikolaj Ehlers,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477940.png,69,20,36,56,6,10,169
8475754,Brock Nelson,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475754.png,68,31,25,56,10,28,164
8482093,Seth Jarvis,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482093.png,61,28,28,56,6,21,192
8484153,Leo Carlsson,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484153.png,57,24,32,56,2,31,147
8480014,Gabriel Vilardi,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480014.png,69,26,30,56,-8,20,132
8477946,Dylan Larkin,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477946.png,63,28,27,55,7,42,191
8474564,Steven Stamkos,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8474564.png,69,33,22,55,-21,40,164
8481533,Trevor Zegras,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481533.png,69,22,33,55,-2,46,146
8481559,Jack Hughes,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481559.png,48,18,37,55,-3,4,170
8475745,Charlie Coyle,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475745.png,69,17,38,55,11,12,125
8479407,Jesper Bratt,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479407.png,69,17,38,55,-16,12,153
8473419,Brad Marchand,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8473419.png,52,27,27,54,-16,38,138
8476881,Tomas Hertl,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476881.png,70,24,30,54,-14,39,175
8474578,Erik Karlsson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8474578.png,64,11,43,54,14,18,149
8477935,Sam Bennett,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477935.png,68,25,28,53,-9,76,177
8477511,Anthony Mantha,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477511.png,69,26,27,53,14,31,130
8479318,Auston Matthews,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479318.png,60,27,26,53,-4,18,227
8479325,Charlie McAvoy,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479325.png,58,9,44,53,8,52,95
8471214,Alex Ovechkin,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8471214.png,70,25,27,52,-3,24,201
8484762,Beckett Sennecke,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484762.png,69,20,32,52,-14,46,166
8484166,Adam Fantilli,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484166.png,69,21,31,52,-10,34,185
